nodo_iniziale,nodo_obiettivo,euristica,trovato,costo,lunghezza_percorso,tempo_ms,nodi_espansi,percorso,id_esperimento
Anna,LibroGaribaldi,nulla,True,2.0,3,0.05740000051446259,4,Anna -> Prestito1 -> LibroGaribaldi,1
Anna,LibroGaribaldi,nulla,True,2.0,3,0.024599998141638935,4,Anna -> Prestito1 -> LibroGaribaldi,2
Anna,LibroGaribaldi,nulla,True,2.0,3,0.0202999945031479,4,Anna -> Prestito1 -> LibroGaribaldi,3
Anna,LibroGaribaldi,nulla,True,2.0,3,0.018300008377991617,4,Anna -> Prestito1 -> LibroGaribaldi,4
Anna,LibroGaribaldi,nulla,True,2.0,3,0.016599995433352888,4,Anna -> Prestito1 -> LibroGaribaldi,5
Anna,LibroGaribaldi,nulla,True,2.0,3,0.015700003132224083,4,Anna -> Prestito1 -> LibroGaribaldi,6
Anna,LibroGaribaldi,base,True,2.0,3,0.018699996871873736,4,Anna -> Prestito1 -> LibroGaribaldi,7
Anna,LibroGaribaldi,base,True,2.0,3,0.016999998479150236,4,Anna -> Prestito1 -> LibroGaribaldi,8
Anna,LibroGaribaldi,base,True,2.0,3,0.01649999467190355,4,Anna -> Prestito1 -> LibroGaribaldi,9
Anna,LibroGaribaldi,base,True,2.0,3,0.020499996026046574,4,Anna -> Prestito1 -> LibroGaribaldi,10
Anna,LibroGaribaldi,base,True,2.0,3,0.016600009985268116,4,Anna -> Prestito1 -> LibroGaribaldi,11
Anna,LibroGaribaldi,base,True,2.0,3,0.015700003132224083,4,Anna -> Prestito1 -> LibroGaribaldi,12
Anna,LibroGaribaldi,informata,True,2.0,3,0.020199993741698563,4,Anna -> Prestito1 -> LibroGaribaldi,13
Anna,LibroGaribaldi,informata,True,2.0,3,0.018099992303177714,4,Anna -> Prestito1 -> LibroGaribaldi,14
Anna,LibroGaribaldi,informata,True,2.0,3,0.01729998621158302,4,Anna -> Prestito1 -> LibroGaribaldi,15
Anna,LibroGaribaldi,informata,True,2.0,3,0.019400002202019095,4,Anna -> Prestito1 -> LibroGaribaldi,16
Anna,LibroGaribaldi,informata,True,2.0,3,0.01720000000204891,4,Anna -> Prestito1 -> LibroGaribaldi,17
Anna,LibroGaribaldi,informata,True,2.0,3,0.016599995433352888,4,Anna -> Prestito1 -> LibroGaribaldi,18
Marco,LibroAI,nulla,True,2.0,3,0.01679999695625156,4,Marco -> Prestito2 -> LibroAI,19
Marco,LibroAI,nulla,True,2.0,3,0.015900004655122757,4,Marco -> Prestito2 -> LibroAI,20
Marco,LibroAI,nulla,True,2.0,3,0.015400000847876072,4,Marco -> Prestito2 -> LibroAI,21
Marco,LibroAI,nulla,True,2.0,3,0.014999997802078724,4,Marco -> Prestito2 -> LibroAI,22
Marco,LibroAI,nulla,True,2.0,3,0.015300000086426735,4,Marco -> Prestito2 -> LibroAI,23
Marco,LibroAI,nulla,True,2.0,3,0.01479999627918005,4,Marco -> Prestito2 -> LibroAI,24
Marco,LibroAI,base,True,2.0,3,0.01589999010320753,4,Marco -> Prestito2 -> LibroAI,25
Marco,LibroAI,base,True,2.0,3,0.016399993910454214,4,Marco -> Prestito2 -> LibroAI,26
Marco,LibroAI,base,True,2.0,3,0.01720000000204891,4,Marco -> Prestito2 -> LibroAI,27
Marco,LibroAI,base,True,2.0,3,0.01610000617802143,4,Marco -> Prestito2 -> LibroAI,28
Marco,LibroAI,base,True,2.0,3,0.017300000763498247,4,Marco -> Prestito2 -> LibroAI,29
Marco,LibroAI,base,True,2.0,3,0.015099998563528061,4,Marco -> Prestito2 -> LibroAI,30
Marco,LibroAI,informata,True,2.0,3,0.01679999695625156,4,Marco -> Prestito2 -> LibroAI,31
Marco,LibroAI,informata,True,2.0,3,0.016400008462369442,4,Marco -> Prestito2 -> LibroAI,32
Marco,LibroAI,informata,True,2.0,3,0.016999998479150236,4,Marco -> Prestito2 -> LibroAI,33
Marco,LibroAI,informata,True,2.0,3,0.016999998479150236,4,Marco -> Prestito2 -> LibroAI,34
Marco,LibroAI,informata,True,2.0,3,0.016699996194802225,4,Marco -> Prestito2 -> LibroAI,35
Marco,LibroAI,informata,True,2.0,3,0.016300007700920105,4,Marco -> Prestito2 -> LibroAI,36
Marco,cat_AlgebraLineare,nulla,True,3.0,4,0.03460000152699649,8,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,37
Marco,cat_AlgebraLineare,nulla,True,3.0,4,0.030399998649954796,8,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,38
Marco,cat_AlgebraLineare,nulla,True,3.0,4,0.029400005587376654,8,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,39
Marco,cat_AlgebraLineare,nulla,True,3.0,4,0.02849999873433262,8,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,40
Marco,cat_AlgebraLineare,nulla,True,3.0,4,0.027699992642737925,8,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,41
Marco,cat_AlgebraLineare,nulla,True,3.0,4,0.0278999941656366,8,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,42
Marco,cat_AlgebraLineare,base,True,3.0,4,0.023599990527145565,7,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,43
Marco,cat_AlgebraLineare,base,True,3.0,4,0.03300000389572233,7,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,44
Marco,cat_AlgebraLineare,base,True,3.0,4,0.023100001271814108,7,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,45
Marco,cat_AlgebraLineare,base,True,3.0,4,0.022899999748915434,7,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,46
Marco,cat_AlgebraLineare,base,True,3.0,4,0.02300000051036477,7,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,47
Marco,cat_AlgebraLineare,base,True,3.0,4,0.023200002033263445,7,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,48
Marco,cat_AlgebraLineare,informata,True,3.0,4,0.025000001187436283,6,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,49
Marco,cat_AlgebraLineare,informata,True,3.0,4,0.0219999928958714,6,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,50
Marco,cat_AlgebraLineare,informata,True,3.0,4,0.0219999928958714,6,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,51
Marco,cat_AlgebraLineare,informata,True,3.0,4,0.021500003640539944,6,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,52
Marco,cat_AlgebraLineare,informata,True,3.0,4,0.021200001356191933,6,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,53
Marco,cat_AlgebraLineare,informata,True,3.0,4,0.021200001356191933,6,Marco -> Prestito7 -> LibroAlgebra -> cat_AlgebraLineare,54
ProfRossi,cat_StoriaItalia,nulla,True,5.5,9,3.166299997246824,20,ProfRossi -> Prestito5 -> LibroManzoni -> cat_Narrativa -> cat_Letteratura -> cat_Biblioteca -> cat_Saggistica -> cat_Storia -> cat_StoriaItalia,55
ProfRossi,cat_StoriaItalia,nulla,True,5.5,9,0.09609998960513622,20,ProfRossi -> Prestito5 -> LibroManzoni -> cat_Narrativa -> cat_Letteratura -> cat_Biblioteca -> cat_Saggistica -> cat_Storia -> cat_StoriaItalia,56
ProfRossi,cat_StoriaItalia,nulla,True,5.5,9,0.07660000119358301,20,ProfRossi -> Prestito5 -> LibroManzoni -> cat_Narrativa -> cat_Letteratura -> cat_Biblioteca -> cat_Saggistica -> cat_Storia -> cat_StoriaItalia,57
ProfRossi,cat_StoriaItalia,nulla,True,5.5,9,0.07319998985622078,20,ProfRossi -> Prestito5 -> LibroManzoni -> cat_Narrativa -> cat_Letteratura -> cat_Biblioteca -> cat_Saggistica -> cat_Storia -> cat_StoriaItalia,58
ProfRossi,cat_StoriaItalia,nulla,True,5.5,9,0.07310000364668667,20,ProfRossi -> Prestito5 -> LibroManzoni -> cat_Narrativa -> cat_Letteratura -> cat_Biblioteca -> cat_Saggistica -> cat_Storia -> cat_StoriaItalia,59
ProfRossi,cat_StoriaItalia,nulla,True,5.5,9,0.07239999831654131,20,ProfRossi -> Prestito5 -> LibroManzoni -> cat_Narrativa -> cat_Letteratura -> cat_Biblioteca -> cat_Saggistica -> cat_Storia -> cat_StoriaItalia,60
ProfRossi,cat_StoriaItalia,base,True,5.5,9,0.05399998917710036,14,ProfRossi -> Prestito5 -> LibroManzoni -> cat_Narrativa -> cat_Letteratura -> cat_Biblioteca -> cat_Saggistica -> cat_Storia -> cat_StoriaItalia,61
ProfRossi,cat_StoriaItalia,base,True,5.5,9,0.05280000914353877,14,ProfRossi -> Prestito5 -> LibroManzoni -> cat_Narrativa -> cat_Letteratura -> cat_Biblioteca -> cat_Saggistica -> cat_Storia -> cat_StoriaItalia,62
ProfRossi,cat_StoriaItalia,base,True,5.5,9,0.05160000000614673,14,ProfRossi -> Prestito5 -> LibroManzoni -> cat_Narrativa -> cat_Letteratura -> cat_Biblioteca -> cat_Saggistica -> cat_Storia -> cat_StoriaItalia,63
ProfRossi,cat_StoriaItalia,base,True,5.5,9,0.0501000031363219,14,ProfRossi -> Prestito5 -> LibroManzoni -> cat_Narrativa -> cat_Letteratura -> cat_Biblioteca -> cat_Saggistica -> cat_Storia -> cat_StoriaItalia,64
ProfRossi,cat_StoriaItalia,base,True,5.5,9,0.06289999873843044,14,ProfRossi -> Prestito5 -> LibroManzoni -> cat_Narrativa -> cat_Letteratura -> cat_Biblioteca -> cat_Saggistica -> cat_Storia -> cat_StoriaItalia,65
ProfRossi,cat_StoriaItalia,base,True,5.5,9,0.05059999239165336,14,ProfRossi -> Prestito5 -> LibroManzoni -> cat_Narrativa -> cat_Letteratura -> cat_Biblioteca -> cat_Saggistica -> cat_Storia -> cat_StoriaItalia,66
